SUBKEY,LUMAPCODE,TIMESTEP
55_7_20620_3,1,5
55_3_20587_2,2,5
55_75_20073_2,3,5
55_115_20352_4,4,5
55_85_20450_3,5,5
55_125_20461_1,6,5
55_85_20213_3,7,5
55_3_20246_3,8,5
55_75_20730_4,9,5
55_41_20297_3,10,5
55_125_20395_4,11,5
55_85_20264_1,12,5
55_99_20502_4,13,5
55_51_20300_1,14,5
55_31_20410_3,15,5
55_125_20119_4,16,5
55_113_20144_2,17,5
55_3_20002_1,18,5
55_51_20396_3,19,5
55_135_20363_1,20,5
55_99_20285_3,21,5
55_75_20751_2,22,5
55_41_20324_3,23,5
55_125_20143_2,24,5
55_83_20194_4,25,5
55_99_20551_2,26,5
55_125_20111_3,27,5
55_31_20640_4,28,5
55_51_20018_3,29,5
55_41_20374_1,30,5
55_3_20641_2,31,5
55_119_20148_1,32,5
55_7_20242_2,33,5
55_41_20290_4,34,5
55_69_20329_3,35,5
55_41_29037_4,36,5
55_41_29079_3,37,5
55_99_20588_3,38,5
55_3_20225_3,39,5
55_29_20460_4,40,5
55_41_20365_2,41,5
55_75_20088_2,42,5
55_41_20187_1,43,5
55_3_20217_1,44,5
55_85_20474_3,45,5
55_99_20130_2,46,5
55_31_20699_1,47,5
55_41_20402_1,48,5
55_37_20139_2,49,5
55_3_20184_3,50,5
55_7_20418_1,51,5
55_119_20178_4,52,5
55_67_20281_1,53,5
55_3_20560_4,54,5
55_7_20040_2,55,5
55_7_20181_2,56,5
55_113_20550_2,57,5
55_119_20463_4,58,5
55_31_20330_2,59,5
55_85_20492_2,60,5
55_75_20623_3,61,5
55_51_20337_3,62,5
55_7_20494_1,63,5
55_7_20219_4,64,5
55_51_20205_1,65,5
55_51_20335_4,66,5
55_113_20200_2,67,5
55_41_29064_2,68,5
55_3_10662_4,69,5
55_31_20145_4,70,5
55_125_20230_3,71,5
55_85_20623_2,72,5
55_85_20178_2,73,5
55_85_20490_3,74,5
55_85_20013_4,75,5
55_85_20631_2,76,5
55_115_20007_4,77,5
55_75_20266_3,78,5
55_67_20324_2,79,5
55_125_20001_4,80,5
55_67_20434_2,81,5
55_7_20391_3,82,5
55_99_20263_3,83,5
55_75_20542_1,84,5
55_7_20708_2,85,5
55_31_20561_1,86,5
55_41_20417_1,87,5
55_67_20444_1,88,5
55_51_20060_1,89,5
55_51_20359_2,90,5
55_85_20104_2,91,5
55_85_20512_2,92,5
55_7_20434_1,93,5
55_3_20138_4,94,5
55_75_20531_1,95,5
55_51_20102_2,96,5
55_3_20638_4,97,5
55_41_20107_1,98,5
55_129_20221_1,99,5
55_99_20553_4,100,5
55_85_20261_4,101,5
55_3_20591_4,102,5
55_75_20426_2,103,5
55_85_20588_4,104,5
55_29_20162_1,105,5
55_7_20038_1,106,5
55_73_20502_2,107,5
55_7_20257_4,108,5
55_85_20103_1,109,5
55_83_20394_4,110,5
55_51_20014_2,111,5
55_3_20445_1,112,5
55_83_20063_3,113,5
55_51_20433_2,114,5
55_41_20400_4,115,5
55_51_20292_3,116,5
55_113_20003_4,117,5
55_31_20039_4,118,5
55_7_20716_1,119,5
55_113_20466_2,120,5
55_17_20450_4,121,5
55_31_20573_4,122,5
55_85_20470_2,123,5
55_3_20146_4,124,5
55_3_20156_2,125,5
55_7_20539_1,126,5
55_41_20131_1,127,5
55_69_20060_4,128,5
55_3_20214_4,129,5
55_85_20511_4,130,5
55_31_20479_2,131,5
55_75_20441_3,132,5
55_51_20430_3,133,5
55_51_20222_3,134,5
55_99_20466_3,135,5
55_31_20661_4,136,5
55_51_20399_4,137,5
55_119_20176_1,138,5
55_113_29025_3,139,5
55_7_20743_3,140,5
55_51_20408_4,141,5
55_31_20401_3,142,5
55_99_20529_4,143,5
55_37_29013_1,144,5
55_3_20529_4,145,5
55_37_20143_4,146,5
55_99_20567_2,147,5
55_69_20426_1,148,5
55_75_20237_1,149,5
55_99_20464_3,150,5
55_41_20276_3,151,5
55_31_20563_1,152,5
55_99_20138_1,153,5
55_67_20392_1,154,5
55_75_20570_2,155,5
55_7_20356_4,156,5
55_3_20528_1,157,5
55_3_20330_3,158,5
55_75_20661_2,159,5
55_3_20307_1,160,5
55_31_20214_3,161,5
55_83_29002_3,162,5
55_3_29031_4,163,5
55_107_20126_3,164,5
55_85_20022_4,165,5
55_78_20095_3,166,5
55_95_20194_4,167,5
55_41_20066_1,168,5
55_41_20241_1,169,5
55_67_20466_3,170,5
55_77_20213_2,171,5
55_69_20345_4,172,5
55_85_20130_1,173,5
55_75_20664_4,174,5
55_83_20293_2,175,5
55_75_20472_1,176,5
55_7_20654_2,177,5
55_83_20266_3,178,5
55_31_20529_4,179,5
55_31_20290_3,180,5
55_99_20199_4,181,5
55_37_20203_1,182,5
55_85_20477_4,183,5
55_85_20476_1,184,5
55_85_20309_1,185,5
55_99_20541_3,186,5
55_141_20120_2,187,5
55_41_20289_1,188,5
55_99_29025_3,189,5
55_85_20162_3,190,5
55_85_20622_1,191,5
55_41_20346_3,192,5
55_69_20196_4,193,5
55_17_20421_1,194,5
55_7_20610_2,195,5
55_99_20227_4,196,5
55_3_20447_3,197,5
55_69_20114_2,198,5
55_13_20457_3,199,5
55_129_20060_1,200,5
55_99_20358_3,201,5
55_53_20411_1,202,5
55_41_20308_4,203,5
55_113_20383_3,204,5
55_85_20249_3,205,5
55_119_20426_3,206,5
55_73_20196_4,207,5
55_85_20227_2,208,5
55_99_20102_2,209,5
55_7_20746_2,210,5
55_13_20282_2,211,5
55_81_20122_2,212,5
55_85_20469_2,213,5
55_129_20126_4,214,5
55_125_20462_4,215,5
55_13_20368_3,216,5
55_137_20267_4,217,5
55_81_20017_1,218,5
55_43_20419_4,219,5
55_83_20429_2,220,5
55_129_20226_4,221,5
55_13_20436_1,222,5
55_85_20194_3,223,5
55_1_20210_4,224,5
55_1_20123_4,225,5
55_53_20038_4,226,5
55_41_20360_2,227,5
55_53_20328_2,228,5
55_53_20119_3,229,5
55_7_20044_3,230,5
55_57_20026_3,231,5
55_31_20217_2,232,5
55_109_20276_2,233,5
55_75_20524_3,234,5
55_141_20344_2,235,5
55_7_20286_1,236,5
55_31_20356_4,237,5
55_7_20711_3,238,5
55_125_20402_2,239,5
55_97_20414_1,240,5
55_75_20668_1,241,5
55_19_20383_4,242,5
55_53_20221_1,243,5
55_95_20453_3,244,5
55_77_20254_4,245,5
55_141_20196_1,246,5
55_53_20479_4,247,5
55_137_20060_4,248,5
55_35_20287_4,249,5
55_53_20429_2,250,5
55_57_20345_4,251,5
55_19_20462_4,252,5
55_57_20393_3,253,5
55_141_20380_4,254,5
55_119_20437_1,255,5
55_75_20350_2,256,5
55_19_20411_2,257,5
55_53_20413_3,258,5
55_125_20326_3,259,5
55_35_20293_4,260,5
55_141_20369_1,261,5
55_53_20175_1,262,5
55_53_20510_3,263,5
55_85_20505_2,264,5
55_57_20205_4,265,5
55_19_20218_2,266,5
55_135_20145_4,267,5
55_13_20395_4,268,5
55_19_20428_2,269,5
55_57_20008_2,270,5
55_53_20401_4,271,5
55_75_20223_1,272,5
55_115_20077_3,273,5
55_29_20325_3,274,5
55_29_20467_1,275,5
55_51_20134_4,276,5
55_78_20004_2,277,5
55_141_20343_1,278,5
55_85_20324_2,279,5
55_3_20102_3,280,5
55_3_20444_4,281,5
55_125_20011_1,282,5
55_78_20210_1,283,5
55_3_20584_4,284,5
55_15_20239_1,285,5
55_103_20254_1,286,5
55_11_20076_2,287,5
55_15_20019_4,288,5
55_21_20265_2,289,5
55_137_20219_4,290,5
55_107_20376_4,291,5
55_5_20380_2,292,5
55_75_20669_4,293,5
55_131_20026_4,294,5
55_27_20084_4,295,5
55_53_20459_1,296,5
55_53_20213_1,297,5
55_129_20379_2,298,5
55_125_20495_3,299,5
55_69_20396_4,300,5
55_17_20244_3,301,5
55_31_20128_2,302,5
55_119_29017_4,303,5
55_73_20737_1,304,5
55_131_20258_1,305,5
55_31_20316_4,306,5
55_97_20159_1,307,5
55_125_20407_2,308,5
55_31_20460_3,309,5
55_137_20305_3,310,5
55_125_20382_1,311,5
55_33_20322_1,312,5
55_107_20224_1,313,5
55_53_20196_4,314,5
55_13_20243_2,315,5
55_129_20096_3,316,5
55_35_20321_2,317,5
55_7_20344_4,318,5
55_119_20128_1,319,5
55_53_20469_2,320,5
55_75_20736_2,321,5
55_75_20621_4,322,5
55_81_20422_4,323,5
55_7_20096_2,324,5
55_83_20439_1,325,5
55_107_20103_1,326,5
55_19_20021_2,327,5
55_107_20327_4,328,5
55_7_20333_2,329,5
55_113_20592_1,330,5
55_51_20353_3,331,5
55_129_20004_3,332,5
55_19_20493_4,333,5
55_53_20279_3,334,5
55_141_20240_1,335,5
55_69_20235_3,336,5
55_81_20066_4,337,5
55_75_20588_3,338,5
55_111_20191_1,339,5
55_57_20175_2,340,5
55_99_20202_3,341,5
55_35_20002_2,342,5
55_51_20406_3,343,5
55_19_20507_1,344,5
55_67_20003_2,345,5
55_41_20064_1,346,5
55_83_20438_2,347,5
55_107_20291_2,348,5
55_19_20404_2,349,5
55_85_20242_4,350,5
55_7_20006_4,351,5
55_141_20222_1,352,5
55_33_20201_2,353,5
55_33_20220_3,354,5
55_7_20492_3,355,5
55_31_20167_4,356,5
55_125_20437_2,357,5
55_129_20348_2,358,5
55_53_20468_2,359,5
55_83_20393_1,360,5
55_7_20698_4,361,5
55_7_20156_2,362,5
55_115_20027_3,363,5
55_119_20231_1,364,5
55_85_20499_4,365,5
55_19_20511_2,366,5
55_17_20441_3,367,5
55_35_20273_1,368,5
55_69_20200_4,369,5
55_71_20174_4,370,5
55_125_20171_4,371,5
55_78_20122_3,372,5
55_81_20036_1,373,5
55_85_20617_1,374,5
55_91_20093_2,375,5
55_13_20384_3,376,5
55_19_20366_3,377,5
55_3_20338_3,378,5
55_13_20369_2,379,5
55_107_20233_4,380,5
55_41_29017_4,381,5
55_37_20162_2,382,5
55_17_20433_1,383,5
55_7_20330_2,384,5
55_41_20088_1,385,5
55_129_20255_3,386,5
55_7_20521_4,387,5
