SUBKEY,LUMAPCODE,TIMESTEP
55_7_20274_3,1,5
55_125_20270_1,2,5
55_69_20375_3,3,5
55_3_20384_2,4,5
55_99_20588_2,5,5
55_3_20367_1,6,5
55_3_20001_2,7,5
55_31_20561_4,8,5
55_85_20130_3,9,5
55_125_20437_4,10,5
55_7_20544_2,11,5
55_125_20234_3,12,5
55_99_20549_4,13,5
55_69_20354_3,14,5
55_69_20426_2,15,5
55_29_20483_2,16,5
55_51_20059_4,17,5
55_73_20737_3,18,5
55_41_20290_1,19,5
55_37_20139_3,20,5
55_107_20416_3,21,5
55_41_20341_4,22,5
55_78_20244_4,23,5
55_41_20395_2,24,5
55_99_20532_3,25,5
55_99_20496_1,26,5
55_125_29006_1,27,5
55_51_20299_3,28,5
55_99_20464_4,29,5
55_85_20439_2,30,5
55_41_20022_1,31,5
55_119_20171_2,32,5
55_99_20285_1,33,5
55_113_20144_4,34,5
55_3_20307_2,35,5
55_37_20092_3,36,5
55_85_20516_2,37,5
55_31_20552_4,38,5
55_125_20502_4,39,5
55_69_20200_1,40,5
55_69_20061_1,41,5
55_37_20207_1,42,5
55_83_20399_3,43,5
55_41_20361_4,44,5
55_113_20550_4,45,5
55_125_29007_4,46,5
55_31_20298_2,47,5
55_31_20313_2,48,5
55_85_20634_1,49,5
55_7_20040_1,50,5
55_31_20410_1,51,5
55_31_20699_2,52,5
55_125_20176_4,53,5
55_67_20466_1,54,5
55_113_20063_2,55,5
55_99_20174_1,56,5
55_125_20049_3,57,5
55_41_20390_3,58,5
55_85_20236_3,59,5
55_37_20027_2,60,5
55_3_20102_4,61,5
55_85_20630_1,62,5
55_85_20213_2,63,5
55_37_20143_1,64,5
55_29_20035_4,65,5
55_7_20648_1,66,5
55_37_20060_3,67,5
55_31_20239_3,68,5
55_75_20072_1,69,5
55_83_20457_3,70,5
55_13_20009_4,71,5
55_119_20415_4,72,5
55_51_20399_1,73,5
55_51_20359_3,74,5
55_7_20414_1,75,5
55_99_20159_1,76,5
55_3_20054_1,77,5
55_69_20389_3,78,5
55_125_20294_3,79,5
55_115_20352_2,80,5
55_3_20595_1,81,5
55_67_20352_1,82,5
55_31_20676_4,83,5
55_113_20588_2,84,5
55_73_20335_4,85,5
55_7_20716_3,86,5
55_85_20429_4,87,5
55_69_20175_1,88,5
55_41_20363_4,89,5
55_85_20577_3,90,5
55_85_20499_2,91,5
55_67_20444_2,92,5
55_99_20486_3,93,5
55_7_20283_1,94,5
55_99_20538_3,95,5
55_7_20310_1,96,5
55_119_20164_1,97,5
55_85_20504_4,98,5
55_73_20621_2,99,5
55_75_20751_3,100,5
55_99_20467_4,101,5
55_125_20003_4,102,5
55_3_20345_4,103,5
55_119_20075_1,104,5
55_41_20362_4,105,5
55_37_20029_4,106,5
55_3_20189_1,107,5
55_125_20395_1,108,5
55_125_20027_4,109,5
55_67_20256_4,110,5
55_41_20264_4,111,5
55_51_20386_4,112,5
55_3_20529_2,113,5
55_41_29066_3,114,5
55_75_20610_1,115,5
55_51_20091_2,116,5
55_83_20107_3,117,5
55_85_20586_1,118,5
55_41_20356_4,119,5
55_37_20039_3,120,5
55_75_20462_2,121,5
