MAPVALUE,PLT_KEY,ECO_PROVINCE
1,55_1_10349_2004_4,222R
2,55_1_10350_2004_2,222K
3,55_1_20001_2001_2,222R
4,55_1_20007_2002_4,222R
5,55_1_20012_2004_3,222R
6,55_1_20026_2001_2,222R
7,55_1_20029_2001_3,222R
8,55_1_20032_2000_3,222R
9,55_1_20040_2000_4,222R
10,55_1_20060_2002_2,222R
11,55_1_20061_2003_1,222R
12,55_1_20069_2000_2,222R
13,55_1_20071_2000_4,222R
14,55_1_20077_2001_2,222R
15,55_1_20092_2000_3,222R
16,55_1_20095_2003_1,222R
17,55_1_20103_2001_1,222R
18,55_1_20106_2000_4,222R
19,55_1_20122_2001_4,222R
20,55_1_20123_2004_4,222R
21,55_1_20125_2004_2,222R
22,55_1_20127_2002_2,222R
23,55_1_20128_2004_1,222R
24,55_1_20130_2001_1,222R
25,55_1_20133_2003_2,222R
26,55_1_20149_2003_3,222K
27,55_1_20153_2003_1,222R
28,55_1_20162_2003_1,222R
29,55_1_20165_2004_2,222K
30,55_1_20166_2004_1,222R
31,55_1_20168_2002_2,222R
32,55_1_20179_2000_3,222R
33,55_1_20184_2001_2,222R
34,55_1_20193_2001_3,222R
35,55_1_20196_2000_4,222R
36,55_1_20204_2001_2,222R
37,55_1_20207_2003_2,222R
38,55_1_20208_2003_1,222R
39,55_1_20210_2003_4,222R
40,55_1_20215_2003_4,222R
41,55_1_20227_2004_4,222R
42,55_1_20229_2004_2,222R
43,55_1_20232_2004_2,222R
44,55_1_20234_2001_1,222R
45,55_1_20237_2001_1,222R
46,55_1_20246_2000_2,222R
47,55_1_20248_2004_3,222R
48,55_1_20249_2001_2,222R
49,55_1_20251_2001_3,222K
50,55_1_20252_2004_3,222R
51,55_1_20253_2002_3,222R
52,55_1_20255_2002_2,222R
53,55_1_20257_2002_4,222R
54,55_1_20259_2000_1,222R
55,55_1_20262_2000_3,222R
56,55_1_20264_2000_3,222R
57,55_1_20265_2000_1,222R
58,55_1_20266_2000_4,222R
59,55_1_20267_2000_1,222R
60,55_1_20268_2001_3,222R
61,55_1_20271_2001_4,222K
62,55_1_20272_2001_2,222R
63,55_1_20273_2001_2,222R
64,55_1_20277_2001_4,222R
65,55_1_20291_2002_1,222R
66,55_1_20292_2002_2,222R
67,55_1_20293_2002_2,222R
68,55_1_20295_2002_4,222K
69,55_1_20299_2002_1,222R
70,55_1_20300_2002_1,222R
71,55_1_20303_2003_2,222R
72,55_1_20307_2003_4,222R
73,55_1_20311_2003_4,222R
74,55_1_20312_2003_3,222R
75,55_1_20315_2003_1,222K
76,55_1_20336_2004_2,222R
77,55_1_20337_2004_1,222R
78,55_101_20073_2000_4,222K
79,55_101_20270_2001_3,222K
80,55_101_20285_2003_2,222K
81,55_103_20006_2004_1,222L
82,55_103_20007_2003_4,222L
83,55_103_20011_2002_4,222L
84,55_103_20013_2002_4,222L
85,55_103_20017_2004_1,222L
86,55_103_20020_2000_4,222L
87,55_103_20035_2001_2,222L
88,55_103_20049_2001_1,222L
89,55_103_20075_2001_3,222L
90,55_103_20077_2001_3,222L
91,55_103_20085_2000_4,222L
92,55_103_20086_2003_3,222L
93,55_103_20090_2002_2,222L
94,55_103_20096_2001_3,222L
95,55_103_20105_2000_2,222L
96,55_103_20108_2002_2,222L
97,55_103_20112_2002_2,222L
98,55_103_20128_2003_3,222L
99,55_103_20136_2004_4,222L
100,55_103_20143_2001_4,222L
101,55_103_20145_2000_1,222L
102,55_103_20149_2002_2,222L
103,55_103_20150_2002_2,222L
104,55_103_20152_2000_2,222L
105,55_103_20160_2002_1,222L
106,55_103_20167_2004_4,222L
107,55_103_20168_2004_4,222L
108,55_103_20177_2000_4,222L
109,55_103_20178_2003_1,222L
110,55_103_20187_2002_4,222L
111,55_103_20192_2004_4,222L
112,55_103_20209_2002_3,222L
113,55_103_20213_2001_4,222L
114,55_103_20219_2004_1,222L
115,55_103_20222_2004_3,222L
116,55_103_20223_2000_1,222L
117,55_103_20224_2004_4,222L
118,55_103_20231_2000_1,222L
119,55_103_20235_2000_2,222L
120,55_103_20241_2001_4,222L
121,55_103_20251_2002_2,222L
122,55_103_20254_2002_1,222L
123,55_103_20256_2002_1,222L
124,55_103_20262_2003_2,222L
125,55_103_20263_2003_4,222L
126,55_103_20265_2003_4,222L
127,55_103_20268_2003_2,222L
128,55_105_20003_2000_3,222K
129,55_105_20006_2001_4,222K
130,55_105_20025_2004_1,222K
131,55_105_20058_2002_2,222K
132,55_105_20083_2002_3,222K
133,55_105_20088_2002_4,222K
134,55_105_20101_2000_2,222K
135,55_105_20106_2001_3,222K
136,55_105_20144_2004_3,222K
137,55_105_20198_2000_1,222K
138,55_105_20221_2001_1,222K
139,55_105_20236_2004_1,222K
140,55_105_20266_2004_4,222K
141,55_105_20268_2001_3,222K
142,55_105_20272_2003_3,222K
143,55_105_20281_2000_2,222K
144,55_105_20285_2000_1,222K
145,55_105_20296_2001_2,222K
146,55_105_20312_2001_1,222K
147,55_105_20328_2003_2,222K
148,55_105_20355_2004_1,222K
149,55_107_10485_2004_4,212X
150,55_107_20001_2002_2,212X
151,55_107_20012_2002_4,212X
152,55_107_20020_2002_3,212X
153,55_107_20038_2000_3,212X
154,55_107_20039_2001_1,212X
155,55_107_20043_2001_2,212X
156,55_107_20052_2000_3,212X
157,55_107_20055_2000_1,212X
158,55_107_20060_2001_3,212X
159,55_107_20062_2004_2,212X
160,55_107_20068_2000_2,212X
161,55_107_20073_2004_4,212X
162,55_107_20074_2003_3,212X
163,55_107_20081_2002_3,212X
164,55_107_20083_2002_2,212X
165,55_107_20089_2003_1,212Q
166,55_107_20090_2003_2,212X
167,55_107_20091_2001_4,212X
168,55_107_20098_2003_4,212X
169,55_107_20101_2004_1,212X
170,55_107_20103_2001_1,212X
171,55_107_20107_2001_4,212X
172,55_107_20116_2003_3,212X
173,55_107_20126_2004_3,212X
174,55_107_20133_2001_1,212X
175,55_107_20135_2003_1,212X
176,55_107_20136_2002_2,212X
177,55_107_20138_2002_1,212X
178,55_107_20139_2003_4,212X
179,55_107_20149_2004_3,212X
180,55_107_20155_2002_1,212X
181,55_107_20164_2001_3,212X
182,55_107_20166_2004_4,212X
183,55_107_20168_2003_1,212X
184,55_107_20172_2000_2,212X
185,55_107_20180_2004_1,212X
186,55_107_20184_2003_2,212X
187,55_107_20188_2004_1,212X
188,55_107_20192_2002_1,212X
189,55_107_20195_2000_4,212X
190,55_107_20203_2004_1,212X
191,55_107_20210_2000_1,212X
192,55_107_20214_2002_3,212X
193,55_107_20217_2000_4,212X
194,55_107_20224_2001_1,212X
195,55_107_20225_2003_1,212X
196,55_107_20226_2001_4,212X
197,55_107_20227_2003_3,212X
198,55_107_20230_2003_2,212X
199,55_107_20231_2003_4,212X
200,55_107_20233_2004_4,212X
201,55_107_20248_2004_4,212X
202,55_107_20251_2004_1,212X
203,55_107_20254_2002_1,212X
204,55_107_20265_2003_3,212X
205,55_107_20268_2002_1,212X
206,55_107_20275_2001_4,212X
207,55_107_20281_2000_1,212X
208,55_107_20284_2003_1,212X
209,55_107_20291_2001_2,212X
210,55_107_20293_2001_1,212X
211,55_107_20302_2000_4,212X
212,55_107_20313_2002_3,212X
213,55_107_20323_2003_3,212X
214,55_107_20327_2000_4,212X
215,55_107_20342_2002_1,212X
216,55_107_20343_2002_4,212X
217,55_107_20345_2003_4,212X
218,55_107_20352_2003_1,212X
219,55_107_20355_2003_3,212X
220,55_107_20357_2001_1,212X
221,55_107_20358_2000_4,212X
222,55_107_20359_2001_2,212X
223,55_107_20360_2000_3,212X
224,55_107_20361_2002_4,212X
225,55_107_20362_2000_1,212X
226,55_107_20363_2004_3,212X
227,55_107_20366_2003_4,212X
228,55_107_20367_2003_1,212X
229,55_107_20369_2000_1,212X
